Index,Source,Author,Title,Description,Content,Headline Sentiment,Offense Rating,Negative Words,Offensive Words,Tags,publishedAt,url,urlToImage
1,Yahoo Entertainment,Research and Markets,"India Snacks Market, Size, Forecast 2023-2028: New Brands and Start-Ups Begin to Find Foothold in the Sector","Indian Snacks Market Indian Snacks Market Dublin, March 31, 2023 (GLOBE NEWSWIRE) -- The ""India Snacks Market, Size, Forecast 2023-2028, Industry Trends...","Indian Snacks Market
Dublin, March 31, 2023 (GLOBE NEWSWIRE) -- The ""India Snacks Market, Size, Forecast 2023-2028, Industry Trends, Growth, Impact of Inflation, Opportunity Company Analysis"" report… [+7751 chars]",Very Positive,0,[],[],['GLOBE'],2023-03-31T09:03:00Z,https://finance.yahoo.com/news/india-snacks-market-size-forecast-090300562.html,https://media.zenfs.com/en/globenewswire.com/5a814849dda7fd15efd0bff49204042e
2,Yahoo Entertainment,Research and Markets,India Quick Service Restaurant (QSR) Market Report 2023: Market to Reach INR 431.27 Bn ($5.221 Billion) in FY 2027 with International Brands Dominating,"Dublin, March 22, 2023 (GLOBE NEWSWIRE) -- The ""Quick Service Restaurant Market in India 2023"" report has been added to ResearchAndMarkets.com's offering.The...","Dublin, March 22, 2023 (GLOBE NEWSWIRE) -- The ""Quick Service Restaurant Market in India 2023"" report has been added to ResearchAndMarkets.com's offering.
The QSR market in India was valued at INR 1… [+4914 chars]",Very Positive,0,[],[],"['March', 'India', 'GLOBE', '2023', 'Dublin', '22']",2023-03-22T16:18:00Z,https://finance.yahoo.com/news/india-quick-restaurant-qsr-market-161800985.html,https://media.zenfs.com/en/globenewswire.com/93d5b27580f67db722dd7c112e43e8bc
3,Ozbargain.com.au,RSmith,"Haldiram Samosa $10.99, Roti Paratha $10.49, Ghee 2x1.35 L $33.99 @ Costco (Membership Reqd)","Deal: Haldiram Samosa $10.99, Roti Paratha $10.49, Ghee 2x1.35 L $33.99 @ Costco (Membership Reqd), Store: Costco Wholesale, Category: Groceries","All trademarks are owned by their respective owners.OzBargain is an independent community website which has no association with nor endorsement by the respective trademark owners.
Copyright © 2006-2… [+32 chars]",Very Negative,190,[],[],"['Deal', 'Paratha', 'Roti', 'Costco', 'Haldiram']",2023-04-09T02:46:20Z,https://www.ozbargain.com.au/node/767773,https://www.ozbargain.com.au/themes/ozbargain/logo-square.png
4,The Times of India,PTI,CCI approves Haldiram group merger plan,"India's fair-trade regulator, the Competition Commission of India (CCI), has approved three deals, including a merger involving Dutch biotechnology company Koninklijke DSM, fragrance and flavour developer Firmenich International​, the demerger of the FMCG bus…",The Competition Commission of India (CCI) on Monday approved the proposed combination involving the demerger of the FMCG business of Haldiram Snacks and Haldiram Foods into Haldiram Snacks Food. Hald… [+2157 chars],Very Positive,0,[],[],"['Competition', 'Firmenich', 'Commission', 'the', 'Koninklijke', 'of', 'International']",2023-04-03T16:16:37Z,https://economictimes.indiatimes.com/markets/stocks/news/cci-approves-haldiram-group-merger-plan/articleshow/99221057.cms,"https://img.etimg.com/thumb/msid-99221094,width-1070,height-580,imgsize-86056,overlay-etmarkets/photo.jpg"
5,GlobeNewswire,Research and Markets,"India Snacks Market, Size, Forecast 2023-2028: New Brands and Start-Ups Begin to Find Foothold in the Sector","Dublin, March 31, 2023 (GLOBE NEWSWIRE) -- The ""India Snacks Market, Size, Forecast 2023-2028, Industry Trends, Growth, Impact of Inflation, Opportunity Company Analysis"" report has been added to ResearchAndMarkets.com's offering.Indian Snack Market will reac…","Dublin, March 31, 2023 (GLOBE NEWSWIRE) -- The ""India Snacks Market, Size, Forecast 2023-2028, Industry Trends, Growth, Impact of Inflation, Opportunity Company Analysis"" report has been added to Res… [+7451 chars]",Very Positive,0,[],[],"['March', 'GLOBE', 'Dublin', '31']",2023-03-31T09:03:00Z,https://www.globenewswire.com/news-release/2023/03/31/2638437/28124/en/India-Snacks-Market-Size-Forecast-2023-2028-New-Brands-and-Start-Ups-Begin-to-Find-Foothold-in-the-Sector.html,https://ml.globenewswire.com/Resource/Download/908fb457-7f8e-4a08-9081-5565e3dfb3d7
6,GlobeNewswire,Research and Markets,India Quick Service Restaurant (QSR) Market Report 2023: Market to Reach INR 431.27 Bn ($5.221 Billion) in FY 2027 with International Brands Dominating,"Dublin, March 22, 2023 (GLOBE NEWSWIRE) -- The ""Quick Service Restaurant Market in India 2023"" report has been added to ResearchAndMarkets.com's offering.The QSR market in India was valued at INR 171.90 Bn in FY 2022. It is expected to reach INR 431.27 Bn in …","Dublin, March 22, 2023 (GLOBE NEWSWIRE) -- The ""Quick Service Restaurant Market in India 2023"" report has been added to ResearchAndMarkets.com's offering.
The QSR market in India was valued at INR 1… [+4662 chars]",Very Positive,0,[],[],"['March', 'India', 'INR', 'GLOBE', '2023', '431', 'QSR', 'Dublin', '22']",2023-03-22T16:18:00Z,https://www.globenewswire.com/news-release/2023/03/22/2632521/28124/en/India-Quick-Service-Restaurant-QSR-Market-Report-2023-Market-to-Reach-INR-431-27-Bn-5-221-Billion-in-FY-2027-with-International-Brands-Dominating.html,https://ml.globenewswire.com/Resource/Download/908fb457-7f8e-4a08-9081-5565e3dfb3d7
7,Livemint,Livemint,CCI gives green signal to demerger plan of Haldiram Group's FMCG business,"Post the demerger transaction, Haldiram Snacks Food would undertake the FMCG Business that is currently undertaken in Delhi and Nagpur.","The Competition Commission of India (CCI) on Monday gives a green signal to the demerger plan of Haldiram Group, which is among the most popular brands in India for snacks and sweets. CCI approved th… [+1446 chars]",Positive,0,[],[],"['Food', 'Nagpur', 'Snacks', 'Delhi', 'Haldiram', 'the', 'FMCG', 'Business']",2023-04-03T17:55:51Z,https://www.livemint.com/companies/news/cci-gives-green-signal-to-demerger-plan-of-haldiram-group-s-fmcg-business-11680544008219.html,https://www.livemint.com/lm-img/img/2023/04/03/600x338/3-0-7436941-DSC-0076-0_1679799638236_1680544471920_1680544471920.JPG
8,Business Standard,nan,"Eye on expansion, Haldiram family to invest Rs 2,500 crore in 5 years","Haldiram: Mulls IPO upon the merger of Nodia, Nagpur businesses","To read the full story, subscribe to BS Premium now, at just Rs 249/ month.Key stories on business-standard.com are available only to BS Premium subscribers.Already a BS Premium subscriber?LOGIN NOW… [+46 chars]",Very Positive,0,[],[],"['Nagpur', 'Nodia', 'Haldiram', 'Mulls', 'IPO']",2023-03-28T14:08:00Z,https://www.business-standard.com/companies/news/eye-on-expansion-haldiram-family-to-invest-rs-2-500-crore-in-5-years-123032700912_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2023-03/27/full/1679928622-9953.jpg
9,Business Standard,BS Web Team,CCI approves demerger of FMCG biz of Haldiram Snacks and Haldiram Foods,"The existing shareholders of Haldiram Snacks and Haldiram Foods have acquired a 56% and a 44% stake, respectively, in Haldiram Snacks Food","Unsubscribe to continue
This is a subscriber only feature Subscribe Now to get daily updates on WhatsApp",Very Positive,0,[],[],"['Food', 'Snacks', 'Foods', 'Haldiram', 'and']",2023-04-03T16:02:00Z,https://www.business-standard.com/companies/news/cci-approves-demerger-of-fmcg-biz-of-haldiram-snacks-and-haldiram-foods-123040301126_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2019-11/01/full/1572550772-165.jpg
10,The Times of India,ET Bureau,CCI approves demerger of FMCG business of Haldiram Snacks and Haldiram Foods,"Haldiram Snacks manufactures and distributes packaged food products such as snacks, namkeen, sweets, ready-to-eat, pre-mixed and frozen foods, and is operated by Manohar Agarwal and. Madhu Sudan Agarwal. Haldiram Foods International, on the other hand, is hea…",The Competition Commission of India (CCI) has approved the demerger of the FMCG business of Haldiram Snacks and Haldiram Foods into Haldiram Snacks Food. The CCI also approved the acquisition of 56% … [+997 chars],Very Positive,10,['frozen'],[],"['Snacks', 'Foods', 'Manohar', 'Haldiram', 'Madhu', 'Sudan', 'International', 'Agarwal']",2023-04-03T15:43:41Z,https://economictimes.indiatimes.com/industry/cons-products/fmcg/cci-approves-demerger-of-fmcg-business-of-haldiram-snacks-and-haldiram-foods/articleshow/99220248.cms,"https://img.etimg.com/thumb/msid-99220456,width-1070,height-580,imgsize-85548,overlay-economictimes/photo.jpg"
